,df_name,accuracy,f1_score,precision_score,recall_score,r2_score,MAE,MAPE,MAD,accuracy_with_bool
0,labeled_dublin_night,0.24,0.24,0.24,0.24,0.05,5.32,0.195,3.0,0.52
0,labeled_dublin_day,0.12,0.12,0.12,0.12,0.481,6.14,0.276,3.0,0.72
